Gene stable ID	Transcript stable ID	Oryza sativa Indica Group protein or transcript stable ID
AT4G08535	AT4G08535.3	
AT4G08535	AT4G08535.1	
AT4G26490	AT4G26490.1	
AT5G46240	AT5G46240.1	BGIOSGA004483-PA
AT5G46240	AT5G46240.1	BGIOSGA006796-PA
AT5G46240	AT5G46240.1	BGIOSGA002143-PA
AT5G62260	AT5G62260.2	BGIOSGA007428-PA
AT5G62260	AT5G62260.1	BGIOSGA007428-PA
AT5G62260	AT5G62260.3	BGIOSGA007428-PA
AT5G62260	AT5G62260.2	BGIOSGA027894-PA
AT5G62260	AT5G62260.1	BGIOSGA027894-PA
AT5G62260	AT5G62260.3	BGIOSGA027894-PA
AT4G16955	AT4G16955.1	
AT3G25717	AT3G25717.1	
AT1G45223	AT1G45223.1	
AT5G35715	AT5G35715.1	BGIOSGA012992-PA
AT5G35715	AT5G35715.1	BGIOSGA024458-PA
AT5G35715	AT5G35715.1	BGIOSGA024460-PA
AT5G35715	AT5G35715.1	BGIOSGA024459-PA
AT5G35715	AT5G35715.1	BGIOSGA036106-PA
AT5G35715	AT5G35715.1	BGIOSGA024456-PA
AT5G35715	AT5G35715.1	BGIOSGA013948-PA
AT5G41908	AT5G41908.1	
AT2G21390	AT2G21390.1	BGIOSGA009937-PA
AT2G21390	AT2G21390.1	BGIOSGA009935-PA
AT2G21390	AT2G21390.1	BGIOSGA030200-PA
AT2G21390	AT2G21390.1	BGIOSGA009936-PA
AT3G48330	AT3G48330.1	BGIOSGA029175-PA
AT3G48330	AT3G48330.4	BGIOSGA029175-PA
AT3G48330	AT3G48330.3	BGIOSGA029175-PA
AT3G48330	AT3G48330.2	BGIOSGA029175-PA
AT3G48330	AT3G48330.1	BGIOSGA014864-PA
AT3G48330	AT3G48330.4	BGIOSGA014864-PA
AT3G48330	AT3G48330.3	BGIOSGA014864-PA
AT3G48330	AT3G48330.2	BGIOSGA014864-PA
AT4G32710	AT4G32710.1	
AT3G46440	AT3G46440.2	BGIOSGA012337-PA
AT3G46440	AT3G46440.1	BGIOSGA012337-PA
AT2G21930	AT2G21930.2	
AT2G21930	AT2G21930.1	
AT3G53910	AT3G53910.1	BGIOSGA004733-PA
AT3G53910	AT3G53910.1	BGIOSGA026932-PA
AT4G25090	AT4G25090.2	BGIOSGA033858-PA
AT4G25090	AT4G25090.1	BGIOSGA033858-PA
AT2G18870	AT2G18870.1	
AT1G56250	AT1G56250.1	BGIOSGA027985-PA
AT1G56250	AT1G56250.1	BGIOSGA009270-PA
AT1G56250	AT1G56250.1	BGIOSGA009269-PA
AT1G56250	AT1G56250.1	BGIOSGA016054-PA
AT1G56250	AT1G56250.1	BGIOSGA016053-PA
AT1G56250	AT1G56250.1	BGIOSGA009268-PA
AT1G56250	AT1G56250.1	BGIOSGA009265-PA
AT1G56250	AT1G56250.1	BGIOSGA009266-PA
AT1G56250	AT1G56250.1	BGIOSGA036940-PA
AT1G56250	AT1G56250.1	BGIOSGA009271-PA
AT1G56250	AT1G56250.1	BGIOSGA036682-PA
AT1G56250	AT1G56250.1	BGIOSGA009267-PA
AT3G16830	AT3G16830.1	BGIOSGA001977-PA
AT5G20470	AT5G20470.1	
AT5G04950	AT5G04950.1	BGIOSGA012466-PA
AT5G04950	AT5G04950.1	BGIOSGA010884-PA
AT5G04950	AT5G04950.1	BGIOSGA026434-PA
AT4G13720	AT4G13720.2	BGIOSGA031775-PA
AT4G13720	AT4G13720.1	BGIOSGA031775-PA
AT4G13720	AT4G13720.2	BGIOSGA040436-PA
AT4G13720	AT4G13720.1	BGIOSGA040436-PA
AT4G13720	AT4G13720.2	BGIOSGA031776-PA
AT4G13720	AT4G13720.1	BGIOSGA031776-PA
AT5G50110	AT5G50110.2	BGIOSGA022606-PA
AT5G50110	AT5G50110.1	BGIOSGA022606-PA
AT3G03305	AT3G03305.1	BGIOSGA038187-PA
AT3G03305	AT3G03305.1	BGIOSGA004969-PA
AT5G66670	AT5G66670.1	BGIOSGA032759-PA
AT5G66670	AT5G66670.3	BGIOSGA032759-PA
AT5G66670	AT5G66670.4	BGIOSGA032759-PA
AT5G66670	AT5G66670.2	BGIOSGA032759-PA
AT5G66670	AT5G66670.1	BGIOSGA012054-PA
AT5G66670	AT5G66670.3	BGIOSGA012054-PA
AT5G66670	AT5G66670.4	BGIOSGA012054-PA
AT5G66670	AT5G66670.2	BGIOSGA012054-PA
AT4G08039	AT4G08039.1	
AT2G38310	AT2G38310.1	BGIOSGA004727-PA
AT2G38310	AT2G38310.1	BGIOSGA010919-PA
AT2G38310	AT2G38310.1	BGIOSGA017879-PA
AT2G26900	AT2G26900.1	BGIOSGA004100-PA
AT5G23000	AT5G23000.1	
AT1G66852	AT1G66852.1	BGIOSGA002019-PA
AT1G69810	AT1G69810.1	
AT1G69810	AT1G69810.2	
AT1G72450	AT1G72450.1	
AT1G72450	AT1G72450.2	
AT5G03560	AT5G03560.2	
AT5G03560	AT5G03560.1	
AT5G03560	AT5G03560.4	
AT5G03560	AT5G03560.3	
AT4G27340	AT4G27340.1	BGIOSGA003586-PA
AT4G27340	AT4G27340.2	BGIOSGA003586-PA
AT4G27340	AT4G27340.3	BGIOSGA003586-PA
AT4G27340	AT4G27340.1	BGIOSGA003587-PA
AT4G27340	AT4G27340.2	BGIOSGA003587-PA
AT4G27340	AT4G27340.3	BGIOSGA003587-PA
AT1G76280	AT1G76280.1	BGIOSGA029596-PA
AT1G76280	AT1G76280.3	BGIOSGA029596-PA
AT1G76280	AT1G76280.5	BGIOSGA029596-PA
AT1G76280	AT1G76280.2	BGIOSGA029596-PA
AT1G76280	AT1G76280.4	BGIOSGA029596-PA
AT3G03272	AT3G03272.1	
AT3G28960	AT3G28960.5	
AT3G28960	AT3G28960.2	
AT3G28960	AT3G28960.3	
AT3G28960	AT3G28960.4	
AT3G28960	AT3G28960.1	
AT1G65630	AT1G65630.1	BGIOSGA019879-PA
AT3G10210	AT3G10210.1	BGIOSGA005162-PA
AT4G27830	AT4G27830.1	
AT4G27830	AT4G27830.2	
AT1G71390	AT1G71390.1	BGIOSGA036571-PA
AT1G71390	AT1G71390.2	BGIOSGA036571-PA
AT5G46260	AT5G46260.1	
AT2G32710	AT2G32710.1	
AT2G32710	AT2G32710.2	
AT5G27680	AT5G27680.6	BGIOSGA018792-PA
AT5G27680	AT5G27680.1	BGIOSGA018792-PA
AT5G27680	AT5G27680.4	BGIOSGA018792-PA
AT5G27680	AT5G27680.5	BGIOSGA018792-PA
AT5G27680	AT5G27680.3	BGIOSGA018792-PA
AT5G27680	AT5G27680.2	BGIOSGA018792-PA
AT4G19380	AT4G19380.2	
AT4G19380	AT4G19380.1	
AT5G61960	AT5G61960.7	BGIOSGA018983-PA
AT5G61960	AT5G61960.4	BGIOSGA018983-PA
AT5G61960	AT5G61960.8	BGIOSGA018983-PA
AT5G61960	AT5G61960.3	BGIOSGA018983-PA
AT5G61960	AT5G61960.1	BGIOSGA018983-PA
AT5G61960	AT5G61960.11	BGIOSGA018983-PA
AT5G61960	AT5G61960.6	BGIOSGA018983-PA
AT5G61960	AT5G61960.9	BGIOSGA018983-PA
AT5G61960	AT5G61960.5	BGIOSGA018983-PA
AT5G61960	AT5G61960.10	BGIOSGA018983-PA
AT5G61960	AT5G61960.2	BGIOSGA018983-PA
AT4G29180	AT4G29180.3	BGIOSGA029918-PA
AT4G29180	AT4G29180.1	BGIOSGA029918-PA
AT4G29180	AT4G29180.2	BGIOSGA029918-PA
AT4G29180	AT4G29180.3	BGIOSGA029910-PA
AT4G29180	AT4G29180.1	BGIOSGA029910-PA
AT4G29180	AT4G29180.2	BGIOSGA029910-PA
AT4G29180	AT4G29180.3	BGIOSGA039122-PA
AT4G29180	AT4G29180.1	BGIOSGA039122-PA
AT4G29180	AT4G29180.2	BGIOSGA039122-PA
AT4G29180	AT4G29180.3	BGIOSGA000621-PA
AT4G29180	AT4G29180.1	BGIOSGA000621-PA
AT4G29180	AT4G29180.2	BGIOSGA000621-PA
AT4G29180	AT4G29180.3	BGIOSGA000620-PA
AT4G29180	AT4G29180.1	BGIOSGA000620-PA
AT4G29180	AT4G29180.2	BGIOSGA000620-PA
AT4G29180	AT4G29180.3	BGIOSGA029921-PA
AT4G29180	AT4G29180.1	BGIOSGA029921-PA
AT4G29180	AT4G29180.2	BGIOSGA029921-PA
AT4G29180	AT4G29180.3	BGIOSGA038076-PA
AT4G29180	AT4G29180.1	BGIOSGA038076-PA
AT4G29180	AT4G29180.2	BGIOSGA038076-PA
AT4G29180	AT4G29180.3	BGIOSGA005576-PA
AT4G29180	AT4G29180.1	BGIOSGA005576-PA
AT4G29180	AT4G29180.2	BGIOSGA005576-PA
AT4G29180	AT4G29180.3	BGIOSGA029924-PA
AT4G29180	AT4G29180.1	BGIOSGA029924-PA
AT4G29180	AT4G29180.2	BGIOSGA029924-PA
AT4G29180	AT4G29180.3	BGIOSGA040727-PA
AT4G29180	AT4G29180.1	BGIOSGA040727-PA
AT4G29180	AT4G29180.2	BGIOSGA040727-PA
AT4G29180	AT4G29180.3	BGIOSGA029908-PA
AT4G29180	AT4G29180.1	BGIOSGA029908-PA
AT4G29180	AT4G29180.2	BGIOSGA029908-PA
AT4G29180	AT4G29180.3	BGIOSGA030571-PA
AT4G29180	AT4G29180.1	BGIOSGA030571-PA
AT4G29180	AT4G29180.2	BGIOSGA030571-PA
AT4G29180	AT4G29180.3	BGIOSGA039972-PA
AT4G29180	AT4G29180.1	BGIOSGA039972-PA
AT4G29180	AT4G29180.2	BGIOSGA039972-PA
AT4G29180	AT4G29180.3	BGIOSGA029820-PA
AT4G29180	AT4G29180.1	BGIOSGA029820-PA
AT4G29180	AT4G29180.2	BGIOSGA029820-PA
AT4G29180	AT4G29180.3	BGIOSGA037990-PA
AT4G29180	AT4G29180.1	BGIOSGA037990-PA
AT4G29180	AT4G29180.2	BGIOSGA037990-PA
AT4G29180	AT4G29180.3	BGIOSGA030570-PA
AT4G29180	AT4G29180.1	BGIOSGA030570-PA
AT4G29180	AT4G29180.2	BGIOSGA030570-PA
AT4G29180	AT4G29180.3	BGIOSGA029925-PA
AT4G29180	AT4G29180.1	BGIOSGA029925-PA
AT4G29180	AT4G29180.2	BGIOSGA029925-PA
AT4G29180	AT4G29180.3	BGIOSGA029927-PA
AT4G29180	AT4G29180.1	BGIOSGA029927-PA
AT4G29180	AT4G29180.2	BGIOSGA029927-PA
AT4G29180	AT4G29180.3	BGIOSGA030580-PA
AT4G29180	AT4G29180.1	BGIOSGA030580-PA
AT4G29180	AT4G29180.2	BGIOSGA030580-PA
AT4G29180	AT4G29180.3	BGIOSGA029916-PA
AT4G29180	AT4G29180.1	BGIOSGA029916-PA
AT4G29180	AT4G29180.2	BGIOSGA029916-PA
AT4G29180	AT4G29180.3	BGIOSGA038169-PA
AT4G29180	AT4G29180.1	BGIOSGA038169-PA
AT4G29180	AT4G29180.2	BGIOSGA038169-PA
AT4G29180	AT4G29180.3	BGIOSGA029928-PA
AT4G29180	AT4G29180.1	BGIOSGA029928-PA
AT4G29180	AT4G29180.2	BGIOSGA029928-PA
AT4G29180	AT4G29180.3	BGIOSGA000619-PA
AT4G29180	AT4G29180.1	BGIOSGA000619-PA
AT4G29180	AT4G29180.2	BGIOSGA000619-PA
AT4G29180	AT4G29180.3	BGIOSGA029929-PA
AT4G29180	AT4G29180.1	BGIOSGA029929-PA
AT4G29180	AT4G29180.2	BGIOSGA029929-PA
AT4G29180	AT4G29180.3	BGIOSGA030581-PA
AT4G29180	AT4G29180.1	BGIOSGA030581-PA
AT4G29180	AT4G29180.2	BGIOSGA030581-PA
AT3G09680	AT3G09680.1	BGIOSGA032090-PA
AT3G09680	AT3G09680.1	BGIOSGA000539-PA
AT3G09680	AT3G09680.1	BGIOSGA009558-PA
AT1G56233	AT1G56233.1	
AT1G15210	AT1G15210.1	BGIOSGA004376-PA
AT1G15210	AT1G15210.1	BGIOSGA021046-PA
AT3G63470	AT3G63470.1	BGIOSGA023790-PA
AT3G63470	AT3G63470.1	BGIOSGA021559-PA
AT2G16970	AT2G16970.5	BGIOSGA008777-PA
AT2G16970	AT2G16970.2	BGIOSGA008777-PA
AT2G16970	AT2G16970.4	BGIOSGA008777-PA
AT2G16970	AT2G16970.7	BGIOSGA008777-PA
AT2G16970	AT2G16970.3	BGIOSGA008777-PA
AT2G16970	AT2G16970.6	BGIOSGA008777-PA
AT2G16970	AT2G16970.8	BGIOSGA008777-PA
AT2G16970	AT2G16970.1	BGIOSGA008777-PA
AT2G16970	AT2G16970.5	BGIOSGA019587-PA
AT2G16970	AT2G16970.2	BGIOSGA019587-PA
AT2G16970	AT2G16970.4	BGIOSGA019587-PA
AT2G16970	AT2G16970.7	BGIOSGA019587-PA
AT2G16970	AT2G16970.3	BGIOSGA019587-PA
AT2G16970	AT2G16970.6	BGIOSGA019587-PA
AT2G16970	AT2G16970.8	BGIOSGA019587-PA
AT2G16970	AT2G16970.1	BGIOSGA019587-PA
AT1G15250	AT1G15250.2	BGIOSGA027921-PA
AT1G15250	AT1G15250.1	BGIOSGA027921-PA
AT1G15250	AT1G15250.2	BGIOSGA009278-PA
AT1G15250	AT1G15250.1	BGIOSGA009278-PA
AT1G79700	AT1G79700.4	BGIOSGA030783-PA
AT1G79700	AT1G79700.1	BGIOSGA030783-PA
AT1G79700	AT1G79700.3	BGIOSGA030783-PA
AT1G79700	AT1G79700.2	BGIOSGA030783-PA
AT1G79700	AT1G79700.4	BGIOSGA028751-PA
AT1G79700	AT1G79700.1	BGIOSGA028751-PA
AT1G79700	AT1G79700.3	BGIOSGA028751-PA
AT1G79700	AT1G79700.2	BGIOSGA028751-PA
AT2G46620	AT2G46620.1	BGIOSGA011580-PA
AT2G46620	AT2G46620.1	BGIOSGA031544-PA
AT3G46920	AT3G46920.2	BGIOSGA022424-PA
AT3G46920	AT3G46920.1	BGIOSGA022424-PA
AT2G43750	AT2G43750.1	BGIOSGA000001-PA
AT2G43750	AT2G43750.2	BGIOSGA000001-PA
AT2G43750	AT2G43750.1	BGIOSGA038094-PA
AT2G43750	AT2G43750.2	BGIOSGA038094-PA
AT1G62895	AT1G62895.1	
AT2G24490	AT2G24490.1	BGIOSGA020620-PA
AT2G24490	AT2G24490.2	BGIOSGA020620-PA
AT2G24490	AT2G24490.1	BGIOSGA005317-PA
AT2G24490	AT2G24490.2	BGIOSGA005317-PA
AT2G24490	AT2G24490.1	BGIOSGA005984-PA
AT2G24490	AT2G24490.2	BGIOSGA005984-PA
AT3G57080	AT3G57080.1	BGIOSGA034515-PA
AT3G57080	AT3G57080.1	BGIOSGA036661-PA
AT3G13820	AT3G13820.1	
AT2G15080	AT2G15080.1	
AT2G15080	AT2G15080.2	
AT1G73360	AT1G73360.1	
AT1G16360	AT1G16360.2	BGIOSGA031262-PA
AT1G16360	AT1G16360.3	BGIOSGA031262-PA
AT1G16360	AT1G16360.5	BGIOSGA031262-PA
AT1G16360	AT1G16360.4	BGIOSGA031262-PA
AT1G16360	AT1G16360.1	BGIOSGA031262-PA
AT1G16360	AT1G16360.2	BGIOSGA007049-PA
AT1G16360	AT1G16360.3	BGIOSGA007049-PA
AT1G16360	AT1G16360.5	BGIOSGA007049-PA
AT1G16360	AT1G16360.4	BGIOSGA007049-PA
AT1G16360	AT1G16360.1	BGIOSGA007049-PA
AT1G16360	AT1G16360.2	BGIOSGA023425-PA
AT1G16360	AT1G16360.3	BGIOSGA023425-PA
AT1G16360	AT1G16360.5	BGIOSGA023425-PA
AT1G16360	AT1G16360.4	BGIOSGA023425-PA
AT1G16360	AT1G16360.1	BGIOSGA023425-PA
AT1G10225	AT1G10225.1	
AT3G49770	AT3G49770.1	
AT4G31660	AT4G31660.1	
AT1G26670	AT1G26670.1	BGIOSGA004299-PA
AT1G26670	AT1G26670.1	BGIOSGA001412-PA
AT1G34855	AT1G34855.1	
AT1G52200	AT1G52200.2	BGIOSGA032386-PA
AT1G52200	AT1G52200.1	BGIOSGA032386-PA
AT1G57800	AT1G57800.1	BGIOSGA018998-PA
AT1G57800	AT1G57800.2	BGIOSGA018998-PA
AT1G57800	AT1G57800.1	BGIOSGA016078-PA
AT1G57800	AT1G57800.2	BGIOSGA016078-PA
AT1G57800	AT1G57800.1	BGIOSGA016079-PA
AT1G57800	AT1G57800.2	BGIOSGA016079-PA
AT4G23200	AT4G23200.2	
AT4G23200	AT4G23200.1	
AT1G69460	AT1G69460.1	BGIOSGA026198-PA
AT1G69460	AT1G69460.1	BGIOSGA010644-PA
AT1G04310	AT1G04310.1	BGIOSGA024506-PA
AT1G04310	AT1G04310.2	BGIOSGA024506-PA
AT1G04310	AT1G04310.1	BGIOSGA009308-PA
AT1G04310	AT1G04310.2	BGIOSGA009308-PA
AT1G04310	AT1G04310.1	BGIOSGA015886-PA
AT1G04310	AT1G04310.2	BGIOSGA015886-PA
AT1G08080	AT1G08080.1	BGIOSGA028694-PA
AT1G08080	AT1G08080.1	BGIOSGA026830-PA
AT1G08080	AT1G08080.1	BGIOSGA026831-PA
AT1G08080	AT1G08080.1	BGIOSGA020903-PA
AT1G08080	AT1G08080.1	BGIOSGA026834-PA
AT1G08080	AT1G08080.1	BGIOSGA028695-PA
AT1G08080	AT1G08080.1	BGIOSGA028696-PA
AT2G37678	AT2G37678.2	
AT2G37678	AT2G37678.1	
AT3G56070	AT3G56070.1	BGIOSGA031312-PA
AT3G56070	AT3G56070.2	BGIOSGA031312-PA
AT5G15420	AT5G15420.1	
AT5G06020	AT5G06020.1	
AT3G15251	AT3G15251.1	
AT1G75550	AT1G75550.1	
AT1G75550	AT1G75550.2	
AT1G71890	AT1G71890.1	
AT1G05430	AT1G05430.1	
AT4G29810	AT4G29810.2	BGIOSGA021917-PA
AT4G29810	AT4G29810.1	BGIOSGA021917-PA
AT4G29810	AT4G29810.3	BGIOSGA021917-PA
AT4G29810	AT4G29810.2	BGIOSGA021916-PA
AT4G29810	AT4G29810.1	BGIOSGA021916-PA
AT4G29810	AT4G29810.3	BGIOSGA021916-PA
AT3G02780	AT3G02780.2	BGIOSGA025904-PA
AT3G02780	AT3G02780.1	BGIOSGA025904-PA
AT4G26560	AT4G26560.1	
AT1G80870	AT1G80870.1	BGIOSGA028353-PA
AT4G23670	AT4G23670.1	
AT2G46225	AT2G46225.1	BGIOSGA001183-PA
AT2G46225	AT2G46225.2	BGIOSGA001183-PA
AT2G46225	AT2G46225.3	BGIOSGA001183-PA
AT2G46225	AT2G46225.1	BGIOSGA020455-PA
AT2G46225	AT2G46225.2	BGIOSGA020455-PA
AT2G46225	AT2G46225.3	BGIOSGA020455-PA
AT5G18730	AT5G18730.1	
AT5G67570	AT5G67570.1	BGIOSGA018316-PA
AT1G75310	AT1G75310.2	
AT1G75310	AT1G75310.1	
AT5G29054	AT5G29054.1	
AT2G27700	AT2G27700.1	BGIOSGA037444-PA
AT2G27700	AT2G27700.2	BGIOSGA037444-PA
AT2G27700	AT2G27700.1	BGIOSGA017454-PA
AT2G27700	AT2G27700.2	BGIOSGA017454-PA
AT2G27700	AT2G27700.1	BGIOSGA003842-PA
AT2G27700	AT2G27700.2	BGIOSGA003842-PA
AT2G27700	AT2G27700.1	BGIOSGA003841-PA
AT2G27700	AT2G27700.2	BGIOSGA003841-PA
AT1G02010	AT1G02010.3	BGIOSGA021985-PA
AT1G02010	AT1G02010.2	BGIOSGA021985-PA
AT1G02010	AT1G02010.5	BGIOSGA021985-PA
AT1G02010	AT1G02010.1	BGIOSGA021985-PA
AT1G02010	AT1G02010.6	BGIOSGA021985-PA
AT1G02010	AT1G02010.4	BGIOSGA021985-PA
AT1G02010	AT1G02010.3	BGIOSGA021986-PA
AT1G02010	AT1G02010.2	BGIOSGA021986-PA
AT1G02010	AT1G02010.5	BGIOSGA021986-PA
AT1G02010	AT1G02010.1	BGIOSGA021986-PA
AT1G02010	AT1G02010.6	BGIOSGA021986-PA
AT1G02010	AT1G02010.4	BGIOSGA021986-PA
AT1G47900	AT1G47900.2	BGIOSGA012226-PA
AT1G47900	AT1G47900.3	BGIOSGA012226-PA
AT1G47900	AT1G47900.1	BGIOSGA012226-PA
AT1G47900	AT1G47900.2	BGIOSGA032576-PA
AT1G47900	AT1G47900.3	BGIOSGA032576-PA
AT1G47900	AT1G47900.1	BGIOSGA032576-PA
AT5G57625	AT5G57625.1	
AT4G02725	AT4G02725.2	BGIOSGA013398-PA
AT4G02725	AT4G02725.1	BGIOSGA013398-PA
AT1G14315	AT1G14315.1	BGIOSGA035358-PA
AT1G14315	AT1G14315.2	BGIOSGA035358-PA
AT1G14315	AT1G14315.1	BGIOSGA000206-PA
AT1G14315	AT1G14315.2	BGIOSGA000206-PA
AT5G66440	AT5G66440.1	
AT4G35440	AT4G35440.1	BGIOSGA004288-PA
AT4G35440	AT4G35440.2	BGIOSGA004288-PA
AT3G52460	AT3G52460.1	
AT4G26240	AT4G26240.1	BGIOSGA003764-PA
AT3G55380	AT3G55380.1	
AT3G55380	AT3G55380.2	
AT2G16953	AT2G16953.1	
AT2G22320	AT2G22320.1	
AT1G26760	AT1G26760.1	BGIOSGA011375-PA
AT1G26760	AT1G26760.1	BGIOSGA030762-PA
AT1G05250	AT1G05250.1	BGIOSGA000677-PA
AT1G05250	AT1G05250.1	BGIOSGA020119-PA
AT1G05250	AT1G05250.1	BGIOSGA022766-PA
AT1G05250	AT1G05250.1	BGIOSGA025004-PA
AT1G05250	AT1G05250.1	BGIOSGA017188-PA
AT1G05250	AT1G05250.1	BGIOSGA035660-PA
AT1G05250	AT1G05250.1	BGIOSGA001847-PA
AT1G05250	AT1G05250.1	BGIOSGA019130-PA
AT1G05250	AT1G05250.1	BGIOSGA022940-PA
AT1G05250	AT1G05250.1	BGIOSGA019143-PA
AT1G05250	AT1G05250.1	BGIOSGA035661-PA
AT1G05250	AT1G05250.1	BGIOSGA019135-PA
AT1G05250	AT1G05250.1	BGIOSGA025002-PA
AT1G05250	AT1G05250.1	BGIOSGA025174-PA
AT1G05250	AT1G05250.1	BGIOSGA020118-PA
AT1G05250	AT1G05250.1	BGIOSGA025003-PA
AT3G44560	AT3G44560.3	BGIOSGA029184-PA
AT3G44560	AT3G44560.2	BGIOSGA029184-PA
AT3G44560	AT3G44560.1	BGIOSGA029184-PA
AT3G44560	AT3G44560.3	BGIOSGA028411-PA
AT3G44560	AT3G44560.2	BGIOSGA028411-PA
AT3G44560	AT3G44560.1	BGIOSGA028411-PA
AT3G44560	AT3G44560.3	BGIOSGA025717-PA
AT3G44560	AT3G44560.2	BGIOSGA025717-PA
AT3G44560	AT3G44560.1	BGIOSGA025717-PA
AT3G44560	AT3G44560.3	BGIOSGA024420-PA
AT3G44560	AT3G44560.2	BGIOSGA024420-PA
AT3G44560	AT3G44560.1	BGIOSGA024420-PA
AT3G44560	AT3G44560.3	BGIOSGA016181-PA
AT3G44560	AT3G44560.2	BGIOSGA016181-PA
AT3G44560	AT3G44560.1	BGIOSGA016181-PA
AT3G44560	AT3G44560.3	BGIOSGA016179-PA
AT3G44560	AT3G44560.2	BGIOSGA016179-PA
AT3G44560	AT3G44560.1	BGIOSGA016179-PA
AT3G44560	AT3G44560.3	BGIOSGA024419-PA
AT3G44560	AT3G44560.2	BGIOSGA024419-PA
AT3G44560	AT3G44560.1	BGIOSGA024419-PA
AT3G44560	AT3G44560.3	BGIOSGA028410-PA
AT3G44560	AT3G44560.2	BGIOSGA028410-PA
AT3G44560	AT3G44560.1	BGIOSGA028410-PA
AT3G44560	AT3G44560.3	BGIOSGA040744-PA
AT3G44560	AT3G44560.2	BGIOSGA040744-PA
AT3G44560	AT3G44560.1	BGIOSGA040744-PA
AT3G44560	AT3G44560.3	BGIOSGA016180-PA
AT3G44560	AT3G44560.2	BGIOSGA016180-PA
AT3G44560	AT3G44560.1	BGIOSGA016180-PA
AT3G44560	AT3G44560.3	BGIOSGA031292-PA
AT3G44560	AT3G44560.2	BGIOSGA031292-PA
AT3G44560	AT3G44560.1	BGIOSGA031292-PA
AT1G67260	AT1G67260.1	BGIOSGA028717-PA
AT1G67260	AT1G67260.2	BGIOSGA028717-PA
AT1G67260	AT1G67260.3	BGIOSGA028717-PA
AT1G67260	AT1G67260.1	BGIOSGA030744-PA
AT1G67260	AT1G67260.2	BGIOSGA030744-PA
AT1G67260	AT1G67260.3	BGIOSGA030744-PA
AT1G67260	AT1G67260.1	BGIOSGA013417-PA
AT1G67260	AT1G67260.2	BGIOSGA013417-PA
AT1G67260	AT1G67260.3	BGIOSGA013417-PA
AT4G31950	AT4G31950.1	BGIOSGA013604-PA
AT5G51680	AT5G51680.1	
AT4G10925	AT4G10925.3	
AT4G10925	AT4G10925.2	
AT4G10925	AT4G10925.4	
AT4G10925	AT4G10925.5	
AT4G10925	AT4G10925.1	
AT3G56520	AT3G56520.1	BGIOSGA008422-PA
AT3G56520	AT3G56520.1	BGIOSGA016453-PA
AT1G24575	AT1G24575.1	
AT4G31690	AT4G31690.1	
AT1G12790	AT1G12790.1	BGIOSGA038218-PA
