Gene stable ID	Transcript stable ID	Medicago truncatula protein or transcript stable ID
AT5G03560	AT5G03560.3	AES61537
AT4G27340	AT4G27340.1	AES66755
AT4G27340	AT4G27340.2	AES66755
AT4G27340	AT4G27340.3	AES66755
AT1G76280	AT1G76280.1	KEH40253
AT1G76280	AT1G76280.3	KEH40253
AT1G76280	AT1G76280.5	KEH40253
AT1G76280	AT1G76280.2	KEH40253
AT1G76280	AT1G76280.4	KEH40253
AT1G76280	AT1G76280.1	KEH26673
AT1G76280	AT1G76280.3	KEH26673
AT1G76280	AT1G76280.5	KEH26673
AT1G76280	AT1G76280.2	KEH26673
AT1G76280	AT1G76280.4	KEH26673
AT1G76280	AT1G76280.1	KEH40261
AT1G76280	AT1G76280.3	KEH40261
AT1G76280	AT1G76280.5	KEH40261
AT1G76280	AT1G76280.2	KEH40261
AT1G76280	AT1G76280.4	KEH40261
AT3G03272	AT3G03272.1	
AT3G28960	AT3G28960.5	AES77451
AT3G28960	AT3G28960.2	AES77451
AT3G28960	AT3G28960.3	AES77451
AT3G28960	AT3G28960.4	AES77451
AT3G28960	AT3G28960.1	AES77451
AT3G28960	AT3G28960.5	AES69715
AT3G28960	AT3G28960.2	AES69715
AT3G28960	AT3G28960.3	AES69715
AT3G28960	AT3G28960.4	AES69715
AT3G28960	AT3G28960.1	AES69715
AT3G28960	AT3G28960.5	AES77449
AT3G28960	AT3G28960.2	AES77449
AT3G28960	AT3G28960.3	AES77449
AT3G28960	AT3G28960.4	AES77449
AT3G28960	AT3G28960.1	AES77449
AT1G65630	AT1G65630.1	KEH24728
AT3G10210	AT3G10210.1	KEH23595
AT4G27830	AT4G27830.1	AES61784
AT4G27830	AT4G27830.2	AES61784
AT4G27830	AT4G27830.1	AES98450
AT4G27830	AT4G27830.2	AES98450
AT4G27830	AT4G27830.1	AES61786
AT4G27830	AT4G27830.2	AES61786
AT1G71390	AT1G71390.1	KEH21577
AT1G71390	AT1G71390.2	KEH21577
AT1G71390	AT1G71390.1	AES77340
AT1G71390	AT1G71390.2	AES77340
AT1G71390	AT1G71390.1	AES77348
AT1G71390	AT1G71390.2	AES77348
AT1G71390	AT1G71390.1	AES77367
AT1G71390	AT1G71390.2	AES77367
AT1G71390	AT1G71390.1	AES77345
AT1G71390	AT1G71390.2	AES77345
AT1G71390	AT1G71390.1	AES77343
AT1G71390	AT1G71390.2	AES77343
AT1G71390	AT1G71390.1	AES77447
AT1G71390	AT1G71390.2	AES77447
AT1G71390	AT1G71390.1	AES77336
AT1G71390	AT1G71390.2	AES77336
AT1G71390	AT1G71390.1	KEH21610
AT1G71390	AT1G71390.2	KEH21610
AT1G71390	AT1G71390.1	AES77339
AT1G71390	AT1G71390.2	AES77339
AT1G71390	AT1G71390.1	AES77347
AT1G71390	AT1G71390.2	AES77347
AT5G46260	AT5G46260.1	AES87066
AT2G32710	AT2G32710.1	
AT2G32710	AT2G32710.2	
AT5G27680	AT5G27680.6	AES61390
AT5G27680	AT5G27680.1	AES61390
AT5G27680	AT5G27680.4	AES61390
AT5G27680	AT5G27680.5	AES61390
AT5G27680	AT5G27680.3	AES61390
AT5G27680	AT5G27680.2	AES61390
AT4G19380	AT4G19380.2	AET03490
AT4G19380	AT4G19380.1	AET03490
AT5G61960	AT5G61960.7	AES73001
AT5G61960	AT5G61960.4	AES73001
AT5G61960	AT5G61960.8	AES73001
AT5G61960	AT5G61960.3	AES73001
AT5G61960	AT5G61960.1	AES73001
AT5G61960	AT5G61960.11	AES73001
AT5G61960	AT5G61960.6	AES73001
AT5G61960	AT5G61960.9	AES73001
AT5G61960	AT5G61960.5	AES73001
AT5G61960	AT5G61960.10	AES73001
AT5G61960	AT5G61960.2	AES73001
AT5G61960	AT5G61960.7	KEH20973
AT5G61960	AT5G61960.4	KEH20973
AT5G61960	AT5G61960.8	KEH20973
AT5G61960	AT5G61960.3	KEH20973
AT5G61960	AT5G61960.1	KEH20973
AT5G61960	AT5G61960.11	KEH20973
AT5G61960	AT5G61960.6	KEH20973
AT5G61960	AT5G61960.9	KEH20973
AT5G61960	AT5G61960.5	KEH20973
AT5G61960	AT5G61960.10	KEH20973
AT5G61960	AT5G61960.2	KEH20973
AT4G29180	AT4G29180.3	KEH18728
AT4G29180	AT4G29180.1	KEH18728
AT4G29180	AT4G29180.2	KEH18728
AT4G29180	AT4G29180.3	AET01545
AT4G29180	AT4G29180.1	AET01545
AT4G29180	AT4G29180.2	AET01545
AT4G29180	AT4G29180.3	AES97667
AT4G29180	AT4G29180.1	AES97667
AT4G29180	AT4G29180.2	AES97667
AT4G29180	AT4G29180.3	AET01543
AT4G29180	AT4G29180.1	AET01543
AT4G29180	AT4G29180.2	AET01543
AT4G29180	AT4G29180.3	KEH18240
AT4G29180	AT4G29180.1	KEH18240
AT4G29180	AT4G29180.2	KEH18240
AT4G29180	AT4G29180.3	AET01548
AT4G29180	AT4G29180.1	AET01548
AT4G29180	AT4G29180.2	AET01548
AT4G29180	AT4G29180.3	KEH18235
AT4G29180	AT4G29180.1	KEH18235
AT4G29180	AT4G29180.2	KEH18235
AT4G29180	AT4G29180.3	AET01560
AT4G29180	AT4G29180.1	AET01560
AT4G29180	AT4G29180.2	AET01560
AT4G29180	AT4G29180.3	KEH18729
AT4G29180	AT4G29180.1	KEH18729
AT4G29180	AT4G29180.2	KEH18729
AT4G29180	AT4G29180.3	KEH18238
AT4G29180	AT4G29180.1	KEH18238
AT4G29180	AT4G29180.2	KEH18238
AT4G29180	AT4G29180.3	KEH18248
AT4G29180	AT4G29180.1	KEH18248
AT4G29180	AT4G29180.2	KEH18248
AT3G09680	AT3G09680.1	KEH22874
AT3G09680	AT3G09680.1	AES81800
AT3G09680	AT3G09680.1	KEH42281
AT1G56233	AT1G56233.1	
AT1G15210	AT1G15210.1	AET01510
AT1G15210	AT1G15210.1	AES67934
AT3G63470	AT3G63470.1	KEH17668
AT3G63470	AT3G63470.1	AES69761
AT2G16970	AT2G16970.5	KEH44398
AT2G16970	AT2G16970.2	KEH44398
AT2G16970	AT2G16970.4	KEH44398
AT2G16970	AT2G16970.7	KEH44398
AT2G16970	AT2G16970.3	KEH44398
AT2G16970	AT2G16970.6	KEH44398
AT2G16970	AT2G16970.8	KEH44398
AT2G16970	AT2G16970.1	KEH44398
AT1G15250	AT1G15250.2	
AT1G15250	AT1G15250.1	
AT1G79700	AT1G79700.4	KEH28582
AT1G79700	AT1G79700.1	KEH28582
AT1G79700	AT1G79700.3	KEH28582
AT1G79700	AT1G79700.2	KEH28582
AT1G79700	AT1G79700.4	KEH38069
AT1G79700	AT1G79700.1	KEH38069
AT1G79700	AT1G79700.3	KEH38069
AT1G79700	AT1G79700.2	KEH38069
AT2G46620	AT2G46620.1	AES82800
AT2G46620	AT2G46620.1	AET02010
AT3G46920	AT3G46920.2	AES91711
AT3G46920	AT3G46920.1	AES91711
AT3G46920	AT3G46920.2	KEH38091
AT3G46920	AT3G46920.1	KEH38091
AT2G43750	AT2G43750.1	AES90287
AT2G43750	AT2G43750.2	AES90287
AT2G43750	AT2G43750.1	AES90286
AT2G43750	AT2G43750.2	AES90286
AT2G43750	AT2G43750.1	AES90284
AT2G43750	AT2G43750.2	AES90284
AT1G62895	AT1G62895.1	
AT2G24490	AT2G24490.1	KEH39769
AT2G24490	AT2G24490.2	KEH39769
AT3G57080	AT3G57080.1	AES81251
AT3G13820	AT3G13820.1	
AT2G15080	AT2G15080.1	AES99952
AT2G15080	AT2G15080.2	AES99952
AT2G15080	AT2G15080.1	AET00722
AT2G15080	AT2G15080.2	AET00722
AT2G15080	AT2G15080.1	KEH28920
AT2G15080	AT2G15080.2	KEH28920
AT2G15080	AT2G15080.1	AET00823
AT2G15080	AT2G15080.2	AET00823
AT2G15080	AT2G15080.1	KEH28919
AT2G15080	AT2G15080.2	KEH28919
AT2G15080	AT2G15080.1	AES99973
AT2G15080	AT2G15080.2	AES99973
AT2G15080	AT2G15080.1	KEH28922
AT2G15080	AT2G15080.2	KEH28922
AT2G15080	AT2G15080.1	AET00003
AT2G15080	AT2G15080.2	AET00003
AT2G15080	AT2G15080.1	AES86946
AT2G15080	AT2G15080.2	AES86946
AT2G15080	AT2G15080.1	AES79575
AT2G15080	AT2G15080.2	AES79575
AT2G15080	AT2G15080.1	AES86997
AT2G15080	AT2G15080.2	AES86997
AT2G15080	AT2G15080.1	AES99372
AT2G15080	AT2G15080.2	AES99372
AT2G15080	AT2G15080.1	KEH38645
AT2G15080	AT2G15080.2	KEH38645
AT2G15080	AT2G15080.1	AES97167
AT2G15080	AT2G15080.2	AES97167
AT2G15080	AT2G15080.1	AES88914
AT2G15080	AT2G15080.2	AES88914
AT2G15080	AT2G15080.1	AES99954
AT2G15080	AT2G15080.2	AES99954
AT2G15080	AT2G15080.1	AES86999
AT2G15080	AT2G15080.2	AES86999
AT2G15080	AT2G15080.1	AES64870
AT2G15080	AT2G15080.2	AES64870
AT2G15080	AT2G15080.1	AES98062
AT2G15080	AT2G15080.2	AES98062
AT2G15080	AT2G15080.1	AES99988
AT2G15080	AT2G15080.2	AES99988
AT2G15080	AT2G15080.1	AES86945
AT2G15080	AT2G15080.2	AES86945
AT2G15080	AT2G15080.1	AES87000
AT2G15080	AT2G15080.2	AES87000
AT2G15080	AT2G15080.1	KEH33517
AT2G15080	AT2G15080.2	KEH33517
AT2G15080	AT2G15080.1	AES87694
AT2G15080	AT2G15080.2	AES87694
AT2G15080	AT2G15080.1	KEH37094
AT2G15080	AT2G15080.2	KEH37094
AT2G15080	AT2G15080.1	AES99948
AT2G15080	AT2G15080.2	AES99948
AT2G15080	AT2G15080.1	KEH28909
AT2G15080	AT2G15080.2	KEH28909
AT2G15080	AT2G15080.1	AES87007
AT2G15080	AT2G15080.2	AES87007
AT2G15080	AT2G15080.1	AET00826
AT2G15080	AT2G15080.2	AET00826
AT2G15080	AT2G15080.1	AES99987
AT2G15080	AT2G15080.2	AES99987
AT2G15080	AT2G15080.1	KEH37300
AT2G15080	AT2G15080.2	KEH37300
AT2G15080	AT2G15080.1	AES99989
AT2G15080	AT2G15080.2	AES99989
AT2G15080	AT2G15080.1	AES69318
AT2G15080	AT2G15080.2	AES69318
AT2G15080	AT2G15080.1	AES86940
AT2G15080	AT2G15080.2	AES86940
AT2G15080	AT2G15080.1	AES86948
AT2G15080	AT2G15080.2	AES86948
AT2G15080	AT2G15080.1	KEH28927
AT2G15080	AT2G15080.2	KEH28927
AT2G15080	AT2G15080.1	KEH28923
AT2G15080	AT2G15080.2	KEH28923
AT2G15080	AT2G15080.1	KEH28329
AT2G15080	AT2G15080.2	KEH28329
AT2G15080	AT2G15080.1	AES99959
AT2G15080	AT2G15080.2	AES99959
AT2G15080	AT2G15080.1	AET00742
AT2G15080	AT2G15080.2	AET00742
AT2G15080	AT2G15080.1	KEH28908
AT2G15080	AT2G15080.2	KEH28908
AT2G15080	AT2G15080.1	AES99956
AT2G15080	AT2G15080.2	AES99956
AT2G15080	AT2G15080.1	AES86957
AT2G15080	AT2G15080.2	AES86957
AT2G15080	AT2G15080.1	AES86998
AT2G15080	AT2G15080.2	AES86998
AT2G15080	AT2G15080.1	AES98060
AT2G15080	AT2G15080.2	AES98060
AT2G15080	AT2G15080.1	AET00716
AT2G15080	AT2G15080.2	AET00716
AT2G15080	AT2G15080.1	AET00825
AT2G15080	AT2G15080.2	AET00825
AT2G15080	AT2G15080.1	AES99373
AT2G15080	AT2G15080.2	AES99373
AT2G15080	AT2G15080.1	KEH29673
AT2G15080	AT2G15080.2	KEH29673
AT2G15080	AT2G15080.1	AES87005
AT2G15080	AT2G15080.2	AES87005
AT2G15080	AT2G15080.1	AES86942
AT2G15080	AT2G15080.2	AES86942
AT2G15080	AT2G15080.1	KEH28823
AT2G15080	AT2G15080.2	KEH28823
AT2G15080	AT2G15080.1	KEH28921
AT2G15080	AT2G15080.2	KEH28921
AT2G15080	AT2G15080.1	AES99950
AT2G15080	AT2G15080.2	AES99950
AT2G15080	AT2G15080.1	AES99957
AT2G15080	AT2G15080.2	AES99957
AT2G15080	AT2G15080.1	AES86966
AT2G15080	AT2G15080.2	AES86966
AT2G15080	AT2G15080.1	KEH26701
AT2G15080	AT2G15080.2	KEH26701
AT2G15080	AT2G15080.1	KEH17915
AT2G15080	AT2G15080.2	KEH17915
AT2G15080	AT2G15080.1	KEH28916
AT2G15080	AT2G15080.2	KEH28916
AT1G73360	AT1G73360.1	KEH25526
AT1G73360	AT1G73360.1	KEH37916
AT1G73360	AT1G73360.1	KEH15689
AT1G16360	AT1G16360.2	KEH38313
AT1G16360	AT1G16360.3	KEH38313
AT1G16360	AT1G16360.5	KEH38313
AT1G16360	AT1G16360.4	KEH38313
AT1G16360	AT1G16360.1	KEH38313
AT1G10225	AT1G10225.1	
AT3G49770	AT3G49770.1	
AT4G31660	AT4G31660.1	
AT1G26670	AT1G26670.1	AES96870
AT1G34855	AT1G34855.1	
AT1G52200	AT1G52200.2	
AT1G52200	AT1G52200.1	
AT1G57800	AT1G57800.1	
AT1G57800	AT1G57800.2	
AT4G23200	AT4G23200.2	
AT4G23200	AT4G23200.1	
AT1G69460	AT1G69460.1	KEH30794
AT1G69460	AT1G69460.1	AES96853
AT1G69460	AT1G69460.1	AES96848
AT1G69460	AT1G69460.1	AES96849
AT1G69460	AT1G69460.1	AES96851
AT1G04310	AT1G04310.1	KEH42695
AT1G04310	AT1G04310.2	KEH42695
AT1G04310	AT1G04310.1	KEH41150
AT1G04310	AT1G04310.2	KEH41150
AT1G08080	AT1G08080.1	KEH16355
AT1G08080	AT1G08080.1	KEH16352
AT2G37678	AT2G37678.2	
AT2G37678	AT2G37678.1	
AT3G56070	AT3G56070.1	AES82695
AT3G56070	AT3G56070.2	AES82695
AT5G15420	AT5G15420.1	
AT5G06020	AT5G06020.1	
AT3G15251	AT3G15251.1	
AT1G75550	AT1G75550.1	
AT1G75550	AT1G75550.2	
AT1G71890	AT1G71890.1	KEH43584
AT1G05430	AT1G05430.1	AES93691
AT4G29810	AT4G29810.2	KEH32477
AT4G29810	AT4G29810.1	KEH32477
AT4G29810	AT4G29810.3	KEH32477
AT4G29810	AT4G29810.2	KEH37501
AT4G29810	AT4G29810.1	KEH37501
AT4G29810	AT4G29810.3	KEH37501
AT3G02780	AT3G02780.2	AES80396
AT3G02780	AT3G02780.1	AES80396
AT4G26560	AT4G26560.1	
AT1G80870	AT1G80870.1	KEH39655
AT4G23670	AT4G23670.1	AES59906
AT2G46225	AT2G46225.1	AES82732
AT2G46225	AT2G46225.2	AES82732
AT2G46225	AT2G46225.3	AES82732
AT2G46225	AT2G46225.1	KEH18769
AT2G46225	AT2G46225.2	KEH18769
AT2G46225	AT2G46225.3	KEH18769
AT5G18730	AT5G18730.1	
AT5G67570	AT5G67570.1	AES90728
AT1G75310	AT1G75310.2	KEH40170
AT1G75310	AT1G75310.1	KEH40170
AT5G29054	AT5G29054.1	
AT2G27700	AT2G27700.1	AES81817
AT2G27700	AT2G27700.2	AES81817
AT2G27700	AT2G27700.1	KEH28760
AT2G27700	AT2G27700.2	KEH28760
AT1G02010	AT1G02010.3	AES87273
AT1G02010	AT1G02010.2	AES87273
AT1G02010	AT1G02010.5	AES87273
AT1G02010	AT1G02010.1	AES87273
AT1G02010	AT1G02010.6	AES87273
AT1G02010	AT1G02010.4	AES87273
AT1G47900	AT1G47900.2	KEH40218
AT1G47900	AT1G47900.3	KEH40218
AT1G47900	AT1G47900.1	KEH40218
AT1G47900	AT1G47900.2	KEH36238
AT1G47900	AT1G47900.3	KEH36238
AT1G47900	AT1G47900.1	KEH36238
AT5G57625	AT5G57625.1	
AT4G02725	AT4G02725.2	KEH23777
AT4G02725	AT4G02725.1	KEH23777
AT1G14315	AT1G14315.1	
AT1G14315	AT1G14315.2	
AT5G66440	AT5G66440.1	KEH20411
AT5G66440	AT5G66440.1	AES95024
AT4G35440	AT4G35440.1	KEH28502
AT4G35440	AT4G35440.2	KEH28502
AT3G52460	AT3G52460.1	
AT4G26240	AT4G26240.1	AET05139
AT3G55380	AT3G55380.1	
AT3G55380	AT3G55380.2	
AT2G16953	AT2G16953.1	
AT2G22320	AT2G22320.1	
AT1G26760	AT1G26760.1	AES89947
AT1G05250	AT1G05250.1	
AT3G44560	AT3G44560.3	AES88362
AT3G44560	AT3G44560.2	AES88362
AT3G44560	AT3G44560.1	AES88362
AT3G44560	AT3G44560.3	AES88384
AT3G44560	AT3G44560.2	AES88384
AT3G44560	AT3G44560.1	AES88384
AT3G44560	AT3G44560.3	AES75250
AT3G44560	AT3G44560.2	AES75250
AT3G44560	AT3G44560.1	AES75250
AT3G44560	AT3G44560.3	AES88386
AT3G44560	AT3G44560.2	AES88386
AT3G44560	AT3G44560.1	AES88386
AT3G44560	AT3G44560.3	AES97100
AT3G44560	AT3G44560.2	AES97100
AT3G44560	AT3G44560.1	AES97100
AT3G44560	AT3G44560.3	KEH26006
AT3G44560	AT3G44560.2	KEH26006
AT3G44560	AT3G44560.1	KEH26006
AT3G44560	AT3G44560.3	AES98766
AT3G44560	AT3G44560.2	AES98766
AT3G44560	AT3G44560.1	AES98766
AT3G44560	AT3G44560.3	AES88411
AT3G44560	AT3G44560.2	AES88411
AT3G44560	AT3G44560.1	AES88411
AT3G44560	AT3G44560.3	AES98767
AT3G44560	AT3G44560.2	AES98767
AT3G44560	AT3G44560.1	AES98767
AT3G44560	AT3G44560.3	AES75254
AT3G44560	AT3G44560.2	AES75254
AT3G44560	AT3G44560.1	AES75254
AT1G67260	AT1G67260.1	KEH25304
AT1G67260	AT1G67260.2	KEH25304
AT1G67260	AT1G67260.3	KEH25304
AT1G67260	AT1G67260.1	KEH21816
AT1G67260	AT1G67260.2	KEH21816
AT1G67260	AT1G67260.3	KEH21816
AT1G67260	AT1G67260.1	KEH43846
AT1G67260	AT1G67260.2	KEH43846
AT1G67260	AT1G67260.3	KEH43846
AT4G31950	AT4G31950.1	
AT5G51680	AT5G51680.1	KEH43760
AT4G10925	AT4G10925.3	KEH21248
AT4G10925	AT4G10925.2	KEH21248
AT4G10925	AT4G10925.4	KEH21248
AT4G10925	AT4G10925.5	KEH21248
AT4G10925	AT4G10925.1	KEH21248
AT3G56520	AT3G56520.1	
AT1G24575	AT1G24575.1	
AT4G31690	AT4G31690.1	
AT1G12790	AT1G12790.1	AES63591
AT4G34640	AT4G34640.2	AES89237
AT4G34640	AT4G34640.1	AES89237
AT4G03340	AT4G03340.1	KEH16895
AT4G03340	AT4G03340.2	KEH16895
AT2G37260	AT2G37260.3	AES81779
AT2G37260	AT2G37260.2	AES81779
AT2G37260	AT2G37260.1	AES81779
AT5G54610	AT5G54610.1	KEH42019
AT5G54610	AT5G54610.1	AES68855
AT5G54610	AT5G54610.1	AET03585
AT5G54610	AT5G54610.1	KEH19754
AT5G54610	AT5G54610.1	AET02475
AT5G54610	AT5G54610.1	KEH20216
AT5G54610	AT5G54610.1	AES77856
AT5G54610	AT5G54610.1	AET03520
AT5G54610	AT5G54610.1	AET03074
AT5G54610	AT5G54610.1	AES73510
AT5G54610	AT5G54610.1	KEH19139
AT5G54610	AT5G54610.1	AET02365
AT5G54610	AT5G54610.1	AET03387
AT5G54610	AT5G54610.1	KEH22490
AT3G27970	AT3G27970.1	KEH38175
AT4G13550	AT4G13550.2	AES60457
AT4G13550	AT4G13550.3	AES60457
AT4G13550	AT4G13550.1	AES60457
AT1G04850	AT1G04850.2	AET04155
AT1G04850	AT1G04850.1	AET04155
AT5G20560	AT5G20560.1	
AT3G17420	AT3G17420.1	
AT3G08780	AT3G08780.2	
AT3G08780	AT3G08780.1	
AT1G31760	AT1G31760.1	AES95440
AT5G65470	AT5G65470.1	AES96007
AT1G33250	AT1G33250.1	AES93838
AT1G74000	AT1G74000.1	KEH17666
AT1G74000	AT1G74000.1	AES65890
AT1G74000	AT1G74000.1	AES65894
AT1G74000	AT1G74000.1	AES91361
AT1G74000	AT1G74000.1	AES91376
AT1G74000	AT1G74000.1	AES91358
AT1G74000	AT1G74000.1	AES91357
AT1G74000	AT1G74000.1	AES91359
AT3G55660	AT3G55660.2	AES71059
AT3G55660	AT3G55660.1	AES71059
AT3G55660	AT3G55660.2	AES99484
AT3G55660	AT3G55660.1	AES99484
AT4G15562	AT4G15562.1	
AT3G48480	AT3G48480.1	KEH34978
AT5G66420	AT5G66420.2	AET03879
AT5G66420	AT5G66420.1	AET03879
AT5G66420	AT5G66420.3	AET03879
AT3G02740	AT3G02740.2	AES80408
AT3G02740	AT3G02740.1	AES80408
AT3G02740	AT3G02740.2	KEH42939
AT3G02740	AT3G02740.1	KEH42939
AT1G55580	AT1G55580.1	
AT1G53903	AT1G53903.1	AET01907
AT3G63400	AT3G63400.2	KEH23833
AT3G63400	AT3G63400.3	KEH23833
AT3G63400	AT3G63400.4	KEH23833
AT3G63400	AT3G63400.1	KEH23833
AT1G19715	AT1G19715.3	AES98655
AT1G19715	AT1G19715.2	AES98655
AT1G19715	AT1G19715.1	AES98655
AT1G19715	AT1G19715.3	KEH34301
AT1G19715	AT1G19715.2	KEH34301
AT1G19715	AT1G19715.1	KEH34301
AT5G62750	AT5G62750.1	
AT2G04031	AT2G04031.1	
AT3G06130	AT3G06130.1	KEH32189
AT3G06130	AT3G06130.2	KEH32189
AT3G06130	AT3G06130.1	KEH36770
AT3G06130	AT3G06130.2	KEH36770
AT3G06130	AT3G06130.1	KEH36771
AT3G06130	AT3G06130.2	KEH36771
AT3G06130	AT3G06130.1	KEH32193
AT3G06130	AT3G06130.2	KEH32193
AT5G50000	AT5G50000.1	AES71542
AT5G50000	AT5G50000.2	AES71542
AT5G50000	AT5G50000.1	AES91171
AT5G50000	AT5G50000.2	AES91171
AT1G69430	AT1G69430.1	KEH30805
AT1G53340	AT1G53340.1	
AT1G53340	AT1G53340.2	
AT1G53340	AT1G53340.3	
ATCG00160	ATCG00160.1	AES82729
ATCG00160	ATCG00160.1	AES88228
AT3G05660	AT3G05660.1	AES99952
AT3G05660	AT3G05660.1	AET00722
AT3G05660	AT3G05660.1	KEH28920
AT3G05660	AT3G05660.1	AET00823
AT3G05660	AT3G05660.1	KEH28919
AT3G05660	AT3G05660.1	AES99973
AT3G05660	AT3G05660.1	KEH28922
AT3G05660	AT3G05660.1	AET00003
AT3G05660	AT3G05660.1	AES86946
AT3G05660	AT3G05660.1	AES79575
