WG
A.thaliana id 	 zscore 		 B.rapa id 	 length  count   zscore
AT2G41260.2 	 7.619567919624424 	 Bra004611.1-P 	 188 	 0 	 -0.5641503587746683
AT5G48330.1 	 7.619567919624424 	 Bra029858.1-P 	 400 	 9 	 7.619567919624424
AT5G60870.2 	 7.619567919624424 	 Bra013002.1-P 	 443 	 8 	 6.7102658886911914
AT1G55350.5 	 7.619567919624424 	 Bra037995.1-P 	 2152 	 9 	 7.619567919624424
AT1G75550.2 	 7.619567919624424 	 Bra003747.1-P 	 127 	 7 	 5.800963857757959
AT1G75550.2 	 7.619567919624424 	 Bra008205.1-P 	 175 	 6 	 4.891661826824726
AT1G75550.2 	 7.619567919624424 	 Bra015834.1-P 	 162 	 9 	 7.619567919624424
AT2G28490.1 	 6.7102658886911914 	 Bra011943.1-P 	 466 	 1 	 0.3451516721585641
AT5G36150.2 	 6.7102658886911914 	 Bra032185.1-P 	 760 	 7 	 5.800963857757959
AT1G26680.4 	 6.7102658886911914 	 Bra024695.1-P 	 468 	 4 	 3.0730577649582616
AT1G26680.4 	 6.7102658886911914 	 Bra024697.1-P 	 543 	 5 	 3.982359795891494
AT1G26680.4 	 6.7102658886911914 	 Bra024696.1-P 	 530 	 5 	 3.982359795891494
AT1G26680.4 	 6.7102658886911914 	 Bra012445.1-P 	 691 	 6 	 4.891661826824726
AT3G02300.2 	 6.7102658886911914 	 Bra039169.1-P 	 471 	 8 	 6.7102658886911914
A.thaliana id 	 zscore 		 G.max id 	 length  count   zscore
AT5G04290.1 	 42.17304509508726 	 KRH35991 	 1452 	 33 	 29.442816662022004
AT5G04290.1 	 42.17304509508726 	 KRG90810 	 896 	 27 	 23.98700447642261
AT5G04290.1 	 42.17304509508726 	 KRG90770 	 1495 	 32 	 28.533514631088774
AT2G15780.1 	 19.440494321756447 	 KRH49766 	 176 	 0 	 -0.5641503587746683
AT2G15780.1 	 19.440494321756447 	 RCW19350 	 159 	 0 	 -0.5641503587746683
AT2G15780.1 	 19.440494321756447 	 KRG89235 	 176 	 0 	 -0.5641503587746683
AT2G15780.1 	 19.440494321756447 	 KRH49765 	 176 	 0 	 -0.5641503587746683
AT2G15780.1 	 19.440494321756447 	 KRH49764 	 176 	 0 	 -0.5641503587746683
AT2G15780.1 	 19.440494321756447 	 KRH71171 	 177 	 1 	 0.3451516721585641
AT1G65440.1 	 17.621890259889984 	 KRH66667 	 1663 	 16 	 13.984682136157051
AT1G65440.1 	 17.621890259889984 	 KRG95035 	 1649 	 13 	 11.256776043357354
AT2G40030.1 	 17.621890259889984 	 KRH13388 	 2082 	 30 	 26.714910569222308
AT2G40030.1 	 17.621890259889984 	 KRH20723 	 2020 	 19 	 16.71258822895675
AT5G63860.1 	 14.893984167090286 	 KRH63996 	 482 	 17 	 14.893984167090286
AT5G63860.1 	 14.893984167090286 	 KRH53944 	 474 	 17 	 14.893984167090286
AT5G63860.1 	 14.893984167090286 	 KRH40960 	 338 	 11 	 9.438171981490889
AT5G63860.1 	 14.893984167090286 	 KRH59606 	 437 	 18 	 15.803286198023518
AT5G13530.1 	 12.166078074290587 	 KRH62822 	 716 	 12 	 10.34747401242412
AT5G13530.1 	 12.166078074290587 	 KRH30086 	 1637 	 13 	 11.256776043357354
AT5G13530.1 	 12.166078074290587 	 KRH20701 	 1421 	 14 	 12.166078074290587
AT2G16485.1 	 11.256776043357354 	 KRH60772 	 1407 	 14 	 12.166078074290587
AT2G16485.1 	 11.256776043357354 	 KRH51464 	 1476 	 14 	 12.166078074290587
AT3G53830.4 	 11.256776043357354 	 KRH00033 	 349 	 10 	 8.528869950557656
AT3G53830.4 	 11.256776043357354 	 KRH49157 	 487 	 13 	 11.256776043357354
AT3G55580.1 	 11.256776043357354 	 KRH15060 	 478 	 11 	 9.438171981490889
AT3G55580.1 	 11.256776043357354 	 KRH31034 	 480 	 13 	 11.256776043357354
AT3G55580.1 	 11.256776043357354 	 KRG97835 	 472 	 13 	 11.256776043357354
AT3G55580.1 	 11.256776043357354 	 KRH73074 	 477 	 11 	 9.438171981490889
AT3G51940.2 	 10.34747401242412 	 KRH29960 	 363 	 9 	 7.619567919624424
AT3G51940.2 	 10.34747401242412 	 KRH62921 	 355 	 8 	 6.7102658886911914
AT2G15770.1 	 10.34747401242412 	 KRH49766 	 176 	 0 	 -0.5641503587746683
AT2G15770.1 	 10.34747401242412 	 RCW19350 	 159 	 0 	 -0.5641503587746683
AT2G15770.1 	 10.34747401242412 	 KRG89235 	 176 	 0 	 -0.5641503587746683
AT2G15770.1 	 10.34747401242412 	 KRH49765 	 176 	 0 	 -0.5641503587746683
AT2G15770.1 	 10.34747401242412 	 KRH49764 	 176 	 0 	 -0.5641503587746683
AT2G15770.1 	 10.34747401242412 	 KRH71171 	 177 	 1 	 0.3451516721585641
AT5G03990.1 	 8.528869950557656 	 KRH66847 	 346 	 7 	 5.800963857757959
AT5G03990.1 	 8.528869950557656 	 KRG95160 	 326 	 6 	 4.891661826824726
AT3G02510.1 	 8.528869950557656 	 KRG93861 	 395 	 10 	 8.528869950557656
AT4G24680.1 	 8.528869950557656 	 KRH57097 	 1574 	 4 	 3.0730577649582616
AT4G24680.1 	 8.528869950557656 	 KRH03258 	 1570 	 4 	 3.0730577649582616
AT5G16040.1 	 8.528869950557656 	 KRG93861 	 395 	 10 	 8.528869950557656
AT4G32770.1 	 7.619567919624424 	 KRH52718 	 480 	 8 	 6.7102658886911914
AT4G32770.1 	 7.619567919624424 	 KRH62048 	 489 	 8 	 6.7102658886911914
AT5G48330.1 	 7.619567919624424 	 KRH28696 	 280 	 5 	 3.982359795891494
AT5G48330.1 	 7.619567919624424 	 KRH76771 	 431 	 9 	 7.619567919624424
AT5G60870.2 	 7.619567919624424 	 KRH46563 	 444 	 8 	 6.7102658886911914
AT1G55350.5 	 7.619567919624424 	 KRH43015 	 2151 	 8 	 6.7102658886911914
AT1G55350.5 	 7.619567919624424 	 KRH59129 	 2150 	 8 	 6.7102658886911914
AT2G28490.1 	 6.7102658886911914 	 KRH10408 	 296 	 1 	 0.3451516721585641
AT2G28490.1 	 6.7102658886911914 	 KRH22936 	 483 	 1 	 0.3451516721585641
AT5G36150.2 	 6.7102658886911914 	 KRH46975 	 762 	 7 	 5.800963857757959
AT5G36150.2 	 6.7102658886911914 	 KRH66676 	 630 	 8 	 6.7102658886911914
AT5G36150.2 	 6.7102658886911914 	 KRH44692 	 762 	 7 	 5.800963857757959
AT5G36150.2 	 6.7102658886911914 	 KRH66672 	 762 	 7 	 5.800963857757959
AT5G36150.2 	 6.7102658886911914 	 KRH11342 	 696 	 7 	 5.800963857757959
AT5G36150.2 	 6.7102658886911914 	 KRH10719 	 456 	 2 	 1.2544537030917968
AT3G02300.2 	 6.7102658886911914 	 KRH01383 	 474 	 9 	 7.619567919624424
AT3G02300.2 	 6.7102658886911914 	 KRH45102 	 474 	 9 	 7.619567919624424
A.thaliana id 	 zscore 		 O.indica id 	 length  count   zscore
AT5G04290.1 	 42.17304509508726 	 BGIOSGA020147-PA 	 1564 	 23 	 20.34979635268968
AT1G65440.1 	 17.621890259889984 	 BGIOSGA020103-PA 	 1627 	 15 	 13.075380105223818
AT2G40030.1 	 17.621890259889984 	 BGIOSGA000052-PA 	 1465 	 2 	 1.2544537030917968
AT2G40030.1 	 17.621890259889984 	 BGIOSGA007122-PA 	 1867 	 16 	 13.984682136157051
AT5G63860.1 	 14.893984167090286 	 BGIOSGA016450-PA 	 453 	 17 	 14.893984167090286
AT5G63860.1 	 14.893984167090286 	 BGIOSGA008418-PA 	 448 	 17 	 14.893984167090286
AT5G13530.1 	 12.166078074290587 	 BGIOSGA018114-PA 	 1661 	 14 	 12.166078074290587
AT3G53830.4 	 11.256776043357354 	 BGIOSGA017926-PA 	 484 	 13 	 11.256776043357354
AT3G53830.4 	 11.256776043357354 	 BGIOSGA004794-PA 	 427 	 13 	 11.256776043357354
AT3G55580.1 	 11.256776043357354 	 BGIOSGA017926-PA 	 484 	 13 	 11.256776043357354
AT3G55580.1 	 11.256776043357354 	 BGIOSGA004794-PA 	 427 	 13 	 11.256776043357354
AT3G02510.1 	 8.528869950557656 	 BGIOSGA026942-PA 	 395 	 9 	 7.619567919624424
AT5G16040.1 	 8.528869950557656 	 BGIOSGA026942-PA 	 395 	 9 	 7.619567919624424
AT5G60870.2 	 7.619567919624424 	 BGIOSGA031261-PA 	 624 	 7 	 5.800963857757959
AT1G55350.5 	 7.619567919624424 	 BGIOSGA008902-PA 	 2078 	 6 	 4.891661826824726
AT2G28490.1 	 6.7102658886911914 	 BGIOSGA010787-PA 	 565 	 3 	 2.1637557340250293
AT5G36150.2 	 6.7102658886911914 	 BGIOSGA034144-PA 	 127 	 0 	 -0.5641503587746683
AT3G02300.2 	 6.7102658886911914 	 BGIOSGA013076-PA 	 225 	 3 	 2.1637557340250293
AT3G02300.2 	 6.7102658886911914 	 BGIOSGA013078-PA 	 555 	 10 	 8.528869950557656
A.thaliana id 	 zscore 		 O.japonica id 	 length  count   zscore
AT5G04290.1 	 42.17304509508726 	 Os05t0506200-01 	 586 	 11 	 9.438171981490889
AT1G65440.1 	 17.621890259889984 	 Os05t0494900-01 	 342 	 14 	 12.166078074290587
AT2G40030.1 	 17.621890259889984 	 Os02t0152800-01 	 488 	 0 	 -0.5641503587746683
AT2G40030.1 	 17.621890259889984 	 Os01t0965000-00 	 1549 	 2 	 1.2544537030917968
AT5G63860.1 	 14.893984167090286 	 Os04t0435700-01 	 453 	 17 	 14.893984167090286
AT5G63860.1 	 14.893984167090286 	 Os02t0554100-01 	 453 	 17 	 14.893984167090286
AT3G53830.4 	 11.256776043357354 	 Os05t0456925-00 	 492 	 13 	 11.256776043357354
AT3G55580.1 	 11.256776043357354 	 Os05t0456925-00 	 492 	 13 	 11.256776043357354
AT3G02510.1 	 8.528869950557656 	 Os08t0430700-02 	 395 	 9 	 7.619567919624424
AT5G16040.1 	 8.528869950557656 	 Os08t0430700-02 	 395 	 9 	 7.619567919624424
AT5G48330.1 	 7.619567919624424 	 Os01t0846800-01 	 185 	 5 	 3.982359795891494
AT5G60870.2 	 7.619567919624424 	 Os09t0560450-01 	 437 	 7 	 5.800963857757959
AT2G28490.1 	 6.7102658886911914 	 Os03t0336100-01 	 337 	 0 	 -0.5641503587746683
AT5G36150.2 	 6.7102658886911914 	 Os08t0223900-00 	 785 	 7 	 5.800963857757959
AT3G02300.2 	 6.7102658886911914 	 Os03t0599600-01 	 190 	 3 	 2.1637557340250293
A.thaliana id 	 zscore 		 M.truncatula id 	 length  count   zscore
AT5G04290.1 	 42.17304509508726 	 KEH44273 	 1326 	 43 	 38.53583697135433
AT2G15780.1 	 19.440494321756447 	 AES90223 	 107 	 0 	 -0.5641503587746683
AT2G15780.1 	 19.440494321756447 	 AES90227 	 183 	 0 	 -0.5641503587746683
AT2G15780.1 	 19.440494321756447 	 AES90225 	 183 	 0 	 -0.5641503587746683
AT2G15780.1 	 19.440494321756447 	 AES90228 	 182 	 0 	 -0.5641503587746683
AT2G15780.1 	 19.440494321756447 	 AES90229 	 184 	 0 	 -0.5641503587746683
AT1G65440.1 	 17.621890259889984 	 AES81104 	 1638 	 21 	 18.531192290823217
AT1G65440.1 	 17.621890259889984 	 KEH23552 	 634 	 0 	 -0.5641503587746683
AT2G40030.1 	 17.621890259889984 	 AET02314 	 2010 	 24 	 21.259098383622913
AT5G63860.1 	 14.893984167090286 	 KEH16774 	 276 	 11 	 9.438171981490889
AT5G63860.1 	 14.893984167090286 	 AES72915 	 439 	 17 	 14.893984167090286
AT5G63860.1 	 14.893984167090286 	 AET04807 	 449 	 17 	 14.893984167090286
AT5G13530.1 	 12.166078074290587 	 AES68722 	 1615 	 12 	 10.34747401242412
AT3G53830.4 	 11.256776043357354 	 KEH22985 	 482 	 13 	 11.256776043357354
AT3G55580.1 	 11.256776043357354 	 AES71007 	 464 	 12 	 10.34747401242412
AT3G51940.2 	 10.34747401242412 	 AES69177 	 365 	 7 	 5.800963857757959
AT2G15770.1 	 10.34747401242412 	 AES90223 	 107 	 0 	 -0.5641503587746683
AT2G15770.1 	 10.34747401242412 	 AES90227 	 183 	 0 	 -0.5641503587746683
AT2G15770.1 	 10.34747401242412 	 AES90225 	 183 	 0 	 -0.5641503587746683
AT2G15770.1 	 10.34747401242412 	 AES90228 	 182 	 0 	 -0.5641503587746683
AT2G15770.1 	 10.34747401242412 	 AES90229 	 184 	 0 	 -0.5641503587746683
AT5G03990.1 	 8.528869950557656 	 AES81312 	 527 	 5 	 3.982359795891494
AT5G03990.1 	 8.528869950557656 	 KEH23607 	 278 	 6 	 4.891661826824726
AT5G03990.1 	 8.528869950557656 	 AES81309 	 289 	 7 	 5.800963857757959
AT5G03990.1 	 8.528869950557656 	 KEH41509 	 233 	 2 	 1.2544537030917968
AT5G03990.1 	 8.528869950557656 	 AES81305 	 314 	 8 	 6.7102658886911914
AT5G03990.1 	 8.528869950557656 	 AES81306 	 307 	 5 	 3.982359795891494
AT5G03990.1 	 8.528869950557656 	 AES81308 	 343 	 5 	 3.982359795891494
AT3G02510.1 	 8.528869950557656 	 KEH17309 	 144 	 2 	 1.2544537030917968
AT3G02510.1 	 8.528869950557656 	 KEH17300 	 398 	 10 	 8.528869950557656
AT4G24680.1 	 8.528869950557656 	 AES71482 	 1531 	 3 	 2.1637557340250293
AT4G24680.1 	 8.528869950557656 	 AES71481 	 1525 	 5 	 3.982359795891494
AT5G16040.1 	 8.528869950557656 	 KEH17309 	 144 	 2 	 1.2544537030917968
AT5G16040.1 	 8.528869950557656 	 KEH17300 	 398 	 10 	 8.528869950557656
AT4G32770.1 	 7.619567919624424 	 KEH36047 	 479 	 8 	 6.7102658886911914
AT5G48330.1 	 7.619567919624424 	 AES94996 	 442 	 9 	 7.619567919624424
AT5G60870.2 	 7.619567919624424 	 KEH22507 	 278 	 5 	 3.982359795891494
AT5G60870.2 	 7.619567919624424 	 KEH22432 	 278 	 5 	 3.982359795891494
AT1G55350.5 	 7.619567919624424 	 AET04413 	 2155 	 9 	 7.619567919624424
AT2G28490.1 	 6.7102658886911914 	 AES88673 	 473 	 1 	 0.3451516721585641
AT2G28490.1 	 6.7102658886911914 	 AES67413 	 460 	 1 	 0.3451516721585641
AT2G28490.1 	 6.7102658886911914 	 AES67432 	 456 	 1 	 0.3451516721585641
AT2G28490.1 	 6.7102658886911914 	 AES67425 	 241 	 0 	 -0.5641503587746683
AT2G28490.1 	 6.7102658886911914 	 AES67433 	 238 	 1 	 0.3451516721585641
AT2G28490.1 	 6.7102658886911914 	 AES67417 	 461 	 1 	 0.3451516721585641
AT2G28490.1 	 6.7102658886911914 	 AES67418 	 418 	 1 	 0.3451516721585641
AT2G28490.1 	 6.7102658886911914 	 AES67426 	 232 	 1 	 0.3451516721585641
AT2G28490.1 	 6.7102658886911914 	 AES67429 	 457 	 1 	 0.3451516721585641
AT5G36150.2 	 6.7102658886911914 	 KEH17471 	 763 	 8 	 6.7102658886911914
AT5G36150.2 	 6.7102658886911914 	 KEH28511 	 764 	 7 	 5.800963857757959
AT5G36150.2 	 6.7102658886911914 	 KEH33351 	 697 	 5 	 3.982359795891494
AT5G36150.2 	 6.7102658886911914 	 AET01567 	 728 	 7 	 5.800963857757959
AT5G36150.2 	 6.7102658886911914 	 KEH22226 	 704 	 8 	 6.7102658886911914
AT5G36150.2 	 6.7102658886911914 	 KEH18380 	 762 	 7 	 5.800963857757959
AT5G36150.2 	 6.7102658886911914 	 AET01563 	 757 	 7 	 5.800963857757959
AT5G36150.2 	 6.7102658886911914 	 AES86318 	 762 	 7 	 5.800963857757959
AT3G02300.2 	 6.7102658886911914 	 AES77740 	 476 	 9 	 7.619567919624424
A.thaliana id 	 zscore 		 P.patens id 	 length  count   zscore
AT5G04290.1 	 42.17304509508726 	 Pp3c16_360V3.2 	 1095 	 2 	 1.2544537030917968
AT1G65440.1 	 17.621890259889984 	 Pp3c5_23930V3.3 	 1620 	 11 	 9.438171981490889
AT1G65440.1 	 17.621890259889984 	 Pp3c5_24480V3.5 	 2158 	 14 	 12.166078074290587
AT5G63860.1 	 14.893984167090286 	 Pp3c3_15300V3.4 	 459 	 17 	 14.893984167090286
AT5G63860.1 	 14.893984167090286 	 Pp3c10_2230V3.3 	 461 	 18 	 15.803286198023518
AT3G53830.4 	 11.256776043357354 	 Pp3c20_17190V3.3 	 493 	 13 	 11.256776043357354
AT3G53830.4 	 11.256776043357354 	 Pp3c24_9770V3.6 	 475 	 13 	 11.256776043357354
AT3G53830.4 	 11.256776043357354 	 Pp3c23_11270V3.6 	 516 	 11 	 9.438171981490889
AT3G53830.4 	 11.256776043357354 	 Pp3c23_5890V3.2 	 493 	 12 	 10.34747401242412
AT3G55580.1 	 11.256776043357354 	 Pp3c20_17190V3.3 	 493 	 13 	 11.256776043357354
AT3G55580.1 	 11.256776043357354 	 Pp3c24_9770V3.6 	 475 	 13 	 11.256776043357354
AT3G55580.1 	 11.256776043357354 	 Pp3c23_11270V3.6 	 516 	 11 	 9.438171981490889
AT3G55580.1 	 11.256776043357354 	 Pp3c23_5890V3.2 	 493 	 12 	 10.34747401242412
AT4G24680.1 	 8.528869950557656 	 Pp3c26_2830V3.3 	 1821 	 8 	 6.7102658886911914
AT4G24680.1 	 8.528869950557656 	 Pp3c4_23740V3.4 	 1808 	 13 	 11.256776043357354
AT4G24680.1 	 8.528869950557656 	 Pp3c4_22960V3.2 	 1659 	 9 	 7.619567919624424
AT4G32770.1 	 7.619567919624424 	 Pp3c20_5100V3.4 	 482 	 8 	 6.7102658886911914
AT4G32770.1 	 7.619567919624424 	 Pp3c7_470V3.1 	 485 	 8 	 6.7102658886911914
AT5G48330.1 	 7.619567919624424 	 Pp3c3_17660V3.1 	 433 	 8 	 6.7102658886911914
AT5G60870.2 	 7.619567919624424 	 Pp3c10_6070V3.1 	 482 	 6 	 4.891661826824726
AT1G55350.5 	 7.619567919624424 	 Pp3c17_17550V3.4 	 2172 	 7 	 5.800963857757959
AT5G36150.2 	 6.7102658886911914 	 Pp3c1_4750V3.1 	 685 	 6 	 4.891661826824726
A.thaliana id 	 zscore 		 V.vinifera id 	 length  count   zscore
AT5G04290.1 	 42.17304509508726 	 VIT_14s0006g02120.t01 	 124 	 0 	 -0.5641503587746683
AT5G04290.1 	 42.17304509508726 	 VIT_19s0093g00140.t01 	 251 	 0 	 -0.5641503587746683
AT5G04290.1 	 42.17304509508726 	 VIT_13s0019g04950.t01 	 621 	 1 	 0.3451516721585641
AT5G04290.1 	 42.17304509508726 	 VIT_00s0131g00430.t01 	 158 	 0 	 -0.5641503587746683
AT2G15780.1 	 19.440494321756447 	 VIT_03s0063g00990.t01 	 181 	 1 	 0.3451516721585641
AT2G15780.1 	 19.440494321756447 	 VIT_03s0063g00970.t01 	 185 	 1 	 0.3451516721585641
AT2G15780.1 	 19.440494321756447 	 VIT_03s0063g01010.t01 	 181 	 1 	 0.3451516721585641
AT2G15780.1 	 19.440494321756447 	 VIT_03s0063g01000.t01 	 1568 	 1 	 0.3451516721585641
AT2G15780.1 	 19.440494321756447 	 VIT_03s0063g00980.t01 	 184 	 1 	 0.3451516721585641
AT1G65440.1 	 17.621890259889984 	 VIT_08s0040g00610.t01 	 1665 	 11 	 9.438171981490889
AT2G40030.1 	 17.621890259889984 	 VIT_13s0067g03120.t01 	 996 	 0 	 -0.5641503587746683
AT5G63860.1 	 14.893984167090286 	 VIT_07s0031g02560.t01 	 445 	 17 	 14.893984167090286
AT5G13530.1 	 12.166078074290587 	 VIT_13s0084g00680.t01 	 1631 	 14 	 12.166078074290587
AT3G53830.4 	 11.256776043357354 	 VIT_08s0007g00930.t01 	 478 	 13 	 11.256776043357354
AT3G55580.1 	 11.256776043357354 	 VIT_13s0019g02280.t01 	 484 	 12 	 10.34747401242412
AT2G15770.1 	 10.34747401242412 	 VIT_03s0063g00990.t01 	 181 	 1 	 0.3451516721585641
AT2G15770.1 	 10.34747401242412 	 VIT_03s0063g00970.t01 	 185 	 1 	 0.3451516721585641
AT2G15770.1 	 10.34747401242412 	 VIT_03s0063g01010.t01 	 181 	 1 	 0.3451516721585641
AT2G15770.1 	 10.34747401242412 	 VIT_03s0063g01000.t01 	 1568 	 1 	 0.3451516721585641
AT2G15770.1 	 10.34747401242412 	 VIT_03s0063g00980.t01 	 184 	 1 	 0.3451516721585641
AT5G03990.1 	 8.528869950557656 	 VIT_08s0007g05940.t01 	 397 	 18 	 15.803286198023518
AT3G02510.1 	 8.528869950557656 	 VIT_14s0006g03240.t01 	 395 	 10 	 8.528869950557656
AT4G24680.1 	 8.528869950557656 	 VIT_17s0000g08810.t01 	 1596 	 6 	 4.891661826824726
AT5G16040.1 	 8.528869950557656 	 VIT_14s0006g03240.t01 	 395 	 10 	 8.528869950557656
AT4G32770.1 	 7.619567919624424 	 VIT_04s0008g03600.t01 	 502 	 8 	 6.7102658886911914
AT5G48330.1 	 7.619567919624424 	 VIT_01s0026g01520.t01 	 396 	 8 	 6.7102658886911914
AT5G60870.2 	 7.619567919624424 	 VIT_03s0017g02290.t01 	 329 	 5 	 3.982359795891494
AT1G55350.5 	 7.619567919624424 	 VIT_06s0004g00420.t01 	 2159 	 7 	 5.800963857757959
AT2G28490.1 	 6.7102658886911914 	 VIT_06s0004g03260.t01 	 464 	 1 	 0.3451516721585641
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01280.t01 	 355 	 1 	 0.3451516721585641
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01210.t01 	 757 	 7 	 5.800963857757959
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01390.t01 	 767 	 8 	 6.7102658886911914
AT5G36150.2 	 6.7102658886911914 	 VIT_04s0008g03000.t01 	 307 	 3 	 2.1637557340250293
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01440.t01 	 66 	 0 	 -0.5641503587746683
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01410.t01 	 769 	 8 	 6.7102658886911914
AT5G36150.2 	 6.7102658886911914 	 VIT_04s0008g02990.t01 	 94 	 1 	 0.3451516721585641
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01130.t01 	 187 	 2 	 1.2544537030917968
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01230.t01 	 769 	 9 	 7.619567919624424
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01360.t01 	 512 	 5 	 3.982359795891494
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01220.t01 	 757 	 8 	 6.7102658886911914
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01480.t01 	 420 	 3 	 2.1637557340250293
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01290.t01 	 129 	 2 	 1.2544537030917968
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01420.t01 	 109 	 1 	 0.3451516721585641
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01470.t01 	 394 	 5 	 3.982359795891494
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01140.t01 	 198 	 1 	 0.3451516721585641
AT5G36150.2 	 6.7102658886911914 	 VIT_09s0054g01520.t01 	 869 	 10 	 8.528869950557656
AT3G02300.2 	 6.7102658886911914 	 VIT_14s0083g01020.t01 	 478 	 9 	 7.619567919624424
